pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left,STR,Max_episode
20170706_03_04_02,visible,0.1,P3,60.0,180.0,119.3,153,157,1,62.0,0.4,0.3483277419354839,0.0322140399848875,1.6040291155271733,0.0648935106489351,0.956904309569043,,
20170706_03_04_03,visible,0.1,P1,0.0,20.0,13.8,19,26,1,13.0,0.5777777777777777,0.3639644444444444,0.0851522434642793,2.510953612432139,0.0122987701229877,0.9968003199680032,,
20170706_03_04_03,visible,0.1,P2,20.0,60.0,40.0,58,63,1,25.0,0.4132231404958678,0.3954297520661157,0.0528808646598845,0.3364806635480396,0.4298570142985701,0.69003099690031,,
20170706_03_04_03,visible,0.1,P3,60.0,180.0,119.4,156,171,1,79.0,0.4831804281345566,0.3454318042813455,0.03137057323932,4.391013922581316,9.999000099990002e-05,1.0,,
20170706_05_06_01,visible,0.1,P1,0.0,20.0,15.5,26,19,1,6.0,0.2666666666666666,0.3756,0.0843105237007076,-1.2920490651918348,0.9398060193980602,0.1466853314668533,,
20170706_05_06_01,visible,0.1,P2,20.0,60.0,40.0,57,44,1,19.0,0.3762376237623762,0.3281920792079207,0.0549601762727301,0.874188327126863,0.2453754624537546,0.8536146385361464,,
20170706_05_06_01,visible,0.1,P3,60.0,180.0,119.3,122,131,1,44.0,0.3478260869565217,0.2938363636363636,0.0358603736047758,1.5055538437828166,0.0847915208479152,0.9455054494550544,,
20170706_05_06_02,visible,0.1,P1,0.0,20.0,15.5,28,21,1,13.0,0.5306122448979592,0.4251959183673469,0.0788414002051561,1.337068167946086,0.1370862913708629,0.9473052694730528,,
20170706_05_06_02,visible,0.1,P2,20.0,60.0,40.0,59,51,1,24.0,0.4363636363636363,0.3556072727272727,0.053454711828376,1.5107435972275645,0.0883911608839116,0.954004599540046,,
20170706_05_06_02,visible,0.1,P3,60.0,180.0,119.8,142,148,1,50.0,0.3448275862068966,0.3269213793103449,0.0334479624911908,0.535345221738623,0.3301669833016698,0.7361263873612639,,
20170706_05_06_03,visible,0.1,P1,0.0,20.0,16.0,25,20,1,7.0,0.3111111111111111,0.3965688888888888,0.0841585654465351,-1.0154376720224392,0.9005099490050995,0.221977802219778,,
20170706_05_06_03,visible,0.1,P2,20.0,60.0,40.0,59,46,1,22.0,0.419047619047619,0.3516838095238095,0.0549605276103788,1.225676179845994,0.1443855614438556,0.9189081091890812,,
20170706_05_06_03,visible,0.1,P3,60.0,180.0,119.7,152,147,1,56.0,0.3745819397993311,0.3247123745819398,0.0314465440472398,1.5858520142142127,0.0704929507049295,0.9533046695330468,,
20170706_11_12_01,visible,0.1,P1,0.0,20.0,13.6,17,18,1,6.0,0.3428571428571428,0.3410285714285714,0.0974795343326817,0.0187585162474287,0.6051394860513949,0.6272372762723728,,
20170706_11_12_01,visible,0.1,P2,20.0,60.0,40.0,36,45,1,19.0,0.4691358024691358,0.2827901234567901,0.0637776304984777,2.92180310801596,0.0035996400359964,0.999000099990001,,
20170706_11_12_01,visible,0.1,P3,60.0,180.0,118.7,110,130,1,38.0,0.3166666666666666,0.2875308333333333,0.0366834469958941,0.7942501514809778,0.2470752924707529,0.8209179082091791,,
20170706_11_12_02,visible,0.1,P1,0.0,20.0,14.0,18,18,1,7.0,0.3888888888888889,0.3507388888888889,0.0944841804192201,0.4037712962183824,0.4563543645635436,0.7651234876512348,,
20170706_11_12_02,visible,0.1,P2,20.0,60.0,40.0,44,46,1,20.0,0.4444444444444444,0.3271422222222222,0.0590688595398431,1.9858555444616195,0.0372962703729627,0.9845015498450156,,
20170706_11_12_02,visible,0.1,P3,60.0,180.0,119.2,97,125,1,36.0,0.3243243243243243,0.2611702702702702,0.0371650829537223,1.699284625106124,0.0596940305969403,0.9642035796420358,,
20170706_11_12_03,visible,0.1,P1,0.0,20.0,13.9,15,16,1,4.0,0.2580645161290322,0.3442709677419355,0.1056339593916217,-0.816086532298823,0.8704129587041296,0.3084691530846915,,
20170706_11_12_03,visible,0.1,P2,20.0,60.0,40.0,43,45,1,10.0,0.2272727272727272,0.3045681818181818,0.0590151317763322,-1.3097565356357224,0.9357064293570644,0.1295870412958704,,
20170706_11_12_03,visible,0.1,P3,60.0,180.0,119.3,113,135,1,38.0,0.3064516129032258,0.2796169354838709,0.0353157319974859,0.7598505227433822,0.2617738226177382,0.8066193380661933,,
20170710_01_02_01,visible,0.1,P1,0.0,20.0,15.0,20,23,1,8.0,0.3720930232558139,0.3874790697674419,0.0860014118304519,-0.1789045805661989,0.6738326167383262,0.5408459154084592,,
20170710_01_02_01,visible,0.1,P2,20.0,60.0,40.0,60,49,1,18.0,0.3302752293577982,0.3563816513761468,0.0526079787651256,-0.496244536116921,0.7466253374662534,0.3726627337266273,,
20170710_01_02_01,visible,0.1,P3,60.0,180.0,118.0,162,153,1,80.0,0.5079365079365079,0.3634971428571429,0.0310582590975355,4.65059437574291,9.999000099990002e-05,1.0,,
20170710_01_02_02,visible,0.1,P1,0.0,20.0,14.3,27,21,1,12.0,0.5,0.4165083333333333,0.0794266447790459,1.0511795745486794,0.2137786221377862,0.9091090890910908,,
