pair_id,condition,delta,period,t0_rel,t1_rel,T_seg,n_A,n_B,sufficient,null_type,jitter_w,n_matched,S_obs,null_mean,null_sd,z_S,p_right,p_left
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,jitter,0.5,26.0,0.4333333333333333,0.4044316666666666,0.0490738223847377,0.5889426431892392,0.3390660933906609,0.7786221377862214
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,isi,,26.0,0.4333333333333333,0.445135,0.0566991370578353,-0.2081454371100664,0.6405359464053595,0.4743525647435256
20170705_03_04_02,invisible,0.1,P2,20.0,60.0,40.0,66,54,1,circ,,26.0,0.4333333333333333,0.4437399999999999,0.0589660362639087,-0.1764857759828129,0.6340365963403659,0.4752524747525247
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,jitter,0.35,74.0,0.4289855072463768,0.3910289855072464,0.0302148911159918,1.2562190475358417,0.1195880411958804,0.9134086591340866
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,jitter,0.2,74.0,0.4289855072463768,0.4100962318840578,0.0299863751574127,0.6299286013451152,0.2948705129487051,0.7675232476752325
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,jitter,0.5,74.0,0.4289855072463768,0.3669542028985507,0.0289225571462945,2.1447378955485368,0.0193980601939806,0.9888011198880112
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,isi,,74.0,0.4289855072463768,0.4334915942028985,0.036721751508807,-0.1227089332991378,0.5769423057694231,0.4866513348665133
20170705_03_04_02,invisible,0.1,P3,60.0,180.0,119.6,175,170,1,circ,,74.0,0.4289855072463768,0.4320521739130435,0.0357977338193137,-0.0856665028614794,0.5605439456054394,0.5055494450554945
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,jitter,0.35,19.0,0.6229508196721312,0.4761803278688524,0.0768235046564459,1.91048940632994,0.0453954604539546,0.9847015298470152
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,jitter,0.2,19.0,0.6229508196721312,0.5064754098360655,0.0807453204698286,1.4425035303388003,0.1040895910408959,0.953004699530047
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,jitter,0.5,19.0,0.6229508196721312,0.4787672131147541,0.0701116054069535,2.056487021235392,0.0308969103089691,0.9904009599040096
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,isi,,19.0,0.6229508196721312,0.586767213114754,0.0946349023388159,0.3823494890693822,0.4300569943005699,0.7044295570442956
20170705_03_04_03,invisible,0.1,P1,0.0,20.0,16.7,30,31,1,circ,,19.0,0.6229508196721312,0.5355508196721311,0.1152046338342443,0.7586500394224641,0.2922707729227077,0.8198180181981802
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,jitter,0.35,34.0,0.5714285714285714,0.3967932773109244,0.0536344990915144,3.25602545144821,0.0006999300069993,0.9997000299970004
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,jitter,0.2,34.0,0.5714285714285714,0.4494739495798319,0.0545643248138053,2.2350615033704893,0.0170982901709829,0.9934006599340066
20170705_03_04_03,invisible,0.1,P2,20.0,60.0,40.0,57,62,1,jitter,0.5,34.0,0.5714285714285714,0.3896554621848739,0.049710793007633,3.656612543191304,0.0004999500049995,0.9998000199980002
