label,condition,tolerance,n_events_a,n_events_b,n_matched,precision,recall,f1,median_abs_dt,p95_abs_dt,mean_dt_signed,median_dt_signed,offset_applied
20170707_01_02_03_B,invisible,0.05,290,197,31,0.15736040609137056,0.10689655172413794,0.12731006160164268,0.0,0.0,0.0,0.0,0.19999999999999218
20170707_01_02_03_B,invisible,0.1,290,197,104,0.5279187817258884,0.3586206896551724,0.4271047227926078,0.09999999999999432,0.10000000000000853,0.018269230769230985,0.0,0.19999999999999218
20170707_01_02_03_B,invisible,0.15,290,197,104,0.5279187817258884,0.3586206896551724,0.4271047227926078,0.09999999999999432,0.10000000000000853,0.018269230769230985,0.0,0.19999999999999218
20170707_01_02_03_B,invisible,0.2,290,197,167,0.8477157360406091,0.5758620689655173,0.6858316221765913,0.10000000000000142,0.20000000000000284,0.02694610778443099,0.09999999999999432,0.19999999999999218
20170707_01_02_03_B,invisible,0.3,290,197,189,0.9593908629441624,0.6517241379310345,0.7761806981519508,0.10000000000002274,0.30000000000001137,0.06455026455026447,0.09999999999999432,0.19999999999999218
20170707_01_02_03_B,invisible,0.5,290,197,196,0.9949238578680203,0.6758620689655173,0.8049281314168379,0.20000000000000284,0.5,0.16377551020408165,0.19999999999999218,0.19999999999999218
20170707_03_04_02_A,invisible,0.05,269,223,38,0.17040358744394618,0.1412639405204461,0.15447154471544716,0.0,0.0,0.0,0.0,0.09999999999999432
20170707_03_04_02_A,invisible,0.1,269,223,112,0.5022421524663677,0.4163568773234201,0.45528455284552843,0.09999999999999432,0.10000000000000853,0.01785714285714305,0.0,0.09999999999999432
20170707_03_04_02_A,invisible,0.15,269,223,112,0.5022421524663677,0.4163568773234201,0.45528455284552843,0.09999999999999432,0.10000000000000853,0.01785714285714305,0.0,0.09999999999999432
20170707_03_04_02_A,invisible,0.2,269,223,171,0.7668161434977578,0.6356877323420075,0.6951219512195121,0.10000000000000142,0.20000000000000284,0.008187134502924158,0.0,0.09999999999999432
