video,condition,arm,rep,period,n_a,n_b,n_match,S,zS,p
20170706_03_04_01,visible,null,5,P1,16,19,7,0.4,0.5972379392175238,0.37662337662337664
20170706_03_04_01,visible,null,5,P2,51,52,18,0.34951456310679613,-0.015137448252556966,0.5554445554445554
20170706_03_04_01,visible,null,5,P3,150,148,41,0.2751677852348993,-1.763311965508451,0.974025974025974
20170706_03_04_01,visible,jitter,6,P1,18,17,8,0.45714285714285713,0.8769004079319964,0.25574425574425574
20170706_03_04_01,visible,jitter,6,P2,49,52,19,0.37623762376237624,0.7106158669052051,0.2957042957042957
20170706_03_04_01,visible,jitter,6,P3,151,152,52,0.3432343234323432,-0.15732033619556704,0.5814185814185814
20170706_03_04_01,visible,null,6,P1,18,18,5,0.2777777777777778,-0.6543512090566477,0.8131868131868132
20170706_03_04_01,visible,null,6,P2,49,50,17,0.3434343434343434,-0.28628028261802124,0.6513486513486514
20170706_03_04_01,visible,null,6,P3,154,151,57,0.3737704918032787,0.683864911551357,0.26073926073926074
20170706_03_04_01,visible,jitter,7,P1,19,17,7,0.3888888888888889,0.6351716984595818,0.38161838161838163
20170706_03_04_01,visible,jitter,7,P2,50,51,20,0.39603960396039606,1.0235006272466742,0.21078921078921078
20170706_03_04_01,visible,jitter,7,P3,151,152,53,0.34983498349834985,-0.011175446806566255,0.5494505494505495
20170706_03_04_01,visible,null,7,P1,19,18,4,0.21621621621621623,-1.3508505702120446,0.9410589410589411
20170706_03_04_01,visible,null,7,P2,50,54,21,0.40384615384615385,0.8987170732603973,0.22977022977022976
20170706_03_04_01,visible,null,7,P3,151,152,59,0.38943894389438943,1.0859659479898869,0.17282717282717283
20170706_03_04_01,visible,jitter,8,P1,20,18,4,0.21052631578947367,-1.4460132649698045,0.972027972027972
20170706_03_04_01,visible,jitter,8,P2,51,50,19,0.37623762376237624,0.36560933708206245,0.4195804195804196
20170706_03_04_01,visible,jitter,8,P3,149,153,54,0.3576158940397351,0.3792373556146704,0.3836163836163836
20170706_03_04_01,visible,null,8,P1,18,17,7,0.4,0.3066277922256056,0.4975024975024975
20170706_03_04_01,visible,null,8,P2,51,49,17,0.34,0.004516417199099012,0.5544455544455544
20170706_03_04_01,visible,null,8,P3,148,154,47,0.31125827814569534,-1.1365198891527215,0.8901098901098901
20170706_03_04_01,visible,jitter,9,P1,17,17,5,0.29411764705882354,-0.3584729870941023,0.7432567432567433
20170706_03_04_01,visible,jitter,9,P2,50,51,18,0.3564356435643564,0.21237865021814661,0.4955044955044955
20170706_03_04_01,visible,jitter,9,P3,153,154,61,0.3973941368078176,1.5001570111674603,0.07192807192807193
20170706_03_04_01,visible,null,9,P1,17,21,10,0.5263157894736842,1.4573874659827943,0.10789210789210789
20170706_03_04_01,visible,null,9,P2,49,46,16,0.3368421052631579,0.23708019418101636,0.45254745254745254
20170706_03_04_01,visible,null,9,P3,149,155,50,0.32894736842105265,-0.7760791489437955,0.7822177822177823
20170706_03_04_01,visible,jitter,10,P1,18,18,6,0.3333333333333333,-0.15499639191858688,0.6913086913086913
20170706_03_04_01,visible,jitter,10,P2,49,50,17,0.3434343434343434,0.10809682148709336,0.5214785214785215
20170706_03_04_01,visible,jitter,10,P3,152,153,49,0.32131147540983607,-0.8170652489076569,0.8251748251748252
20170706_03_04_01,visible,null,10,P1,17,20,9,0.4864864864864865,1.1895807372740634,0.18281718281718282
20170706_03_04_01,visible,null,10,P2,51,46,18,0.3711340206185567,0.4268633731845593,0.4305694305694306
20170706_03_04_01,visible,null,10,P3,152,159,64,0.4115755627009646,1.638535072563267,0.06593406593406594
20170706_03_04_02,visible,real,0,P1,21,21,8,0.38095238095238093,-0.3323013727794679,0.6843156843156843
20170706_03_04_02,visible,real,0,P2,55,53,22,0.4074074074074074,0.166464195058758,0.43656343656343655
20170706_03_04_02,visible,real,0,P3,153,157,62,0.4,0.26987890356729605,0.4195804195804196
20170706_03_04_02,visible,jitter,1,P1,20,20,7,0.35,-0.30531492527815984,0.7122877122877123
20170706_03_04_02,visible,jitter,1,P2,54,52,22,0.41509433962264153,1.1290352463995315,0.16383616383616384
20170706_03_04_02,visible,jitter,1,P3,149,154,49,0.3234323432343234,-0.6214845615017838,0.7472527472527473
